"","participant_private_id","testexpt","SF","A"
"1",1468536,"low",65,65
"2",1468550,"low",70,90
"3",1468571,"low",100,100
"4",1468587,"low",50,50
"5",1468594,"low",85,100
"6",1468611,"low",80,85
"7",1468614,"low",20,20
"8",1468635,"low",100,100
"9",1468640,"low",65,65
"10",1468642,"low",30,24
"11",1468650,"low",60,15
"12",1468656,"low",50,75
"13",1468660,"low",100,100
"14",1468662,"low",90,100
"15",1468683,"low",60,70
"16",1531487,"low",80,80
"17",1531520,"low",90,90
"18",1531534,"low",4,4
"19",1531551,"low",85,95
"20",1531557,"low",99,99
"21",1531554,"low",50,40
"22",1531532,"low",100,100
"23",1531574,"low",5,5
"24",1531592,"low",90,100
"25",1531613,"low",100,100
"26",1531620,"low",100,100
"27",1531625,"low",60,60
"28",1531643,"low",50,100
"29",1531663,"low",95,100
"30",1531666,"low",0,2
"31",1531670,"low",20,50
"32",1531591,"low",99,100
"33",1531691,"low",90,93
"34",1531702,"low",10,10
"35",1531712,"low",40,40
"36",1531720,"low",80,100
"37",1531715,"low",2,1
"38",1531723,"low",60,20
"39",1531742,"low",70,70
"40",1531739,"low",80,80
"41",1531748,"low",35,35
"42",1532226,"low",70,82
"43",1468535,"low",20,35
"44",1468573,"low",90,100
"45",1468579,"low",100,100
"46",1468597,"low",9,100
"47",1468605,"low",10,10
"48",1468621,"low",100,100
"49",1468624,"low",50,50
"50",1468638,"low",70,80
"51",1468630,"low",88,50
"52",1468645,"low",35,35
"53",1468652,"low",100,100
"54",1468661,"low",50,60
"55",1468671,"low",100,100
"56",1468722,"low",20,20
"57",1531494,"low",100,100
"58",1531503,"low",35,45
"59",1531522,"low",97,98
"60",1531528,"low",75,100
"61",1531537,"low",85,80
"62",1531560,"low",100,100
"63",1531569,"low",50,100
"64",1531572,"low",100,100
"65",1531585,"low",50,50
"66",1531600,"low",10,5
"67",1531615,"low",75,90
"68",1531626,"low",15,50
"69",1531645,"low",2,2
"70",1531657,"low",80,80
"71",1531654,"low",50,50
"72",1531669,"low",50,50
"73",1531677,"low",100,100
"74",1531693,"low",75,75
"75",1531696,"low",60,80
"76",1531680,"low",25,25
"77",1531706,"low",90,90
"78",1531718,"low",20,20
"79",1531722,"low",75,75
"80",1531736,"low",70,40
"81",1531735,"low",100,100
"82",1531731,"low",35,75
"83",1531593,"low",100,100
"84",1532152,"low",100,100
"85",1532209,"low",75,95
"86",1468541,"low",40,40
"87",1468569,"low",75,75
"88",1468572,"low",85,100
"89",1468591,"low",40,40
"90",1468601,"low",95,95
"91",1468602,"low",65,60
"92",1468615,"low",100,100
"93",1468623,"low",68,67
"94",1468637,"low",20,20
"95",1468643,"low",99,99
"96",1468646,"low",10,20
"97",1468628,"low",50,50
"98",1468657,"low",85,85
"99",1468682,"low",6,55
"100",1468744,"low",80,20
"101",1531488,"low",98,100
"102",1531518,"low",98,100
"103",1531542,"low",85,75
"104",1531550,"low",80,80
"105",1531556,"low",95,100
"106",1531566,"low",75,85
"107",1531581,"low",65,70
"108",1531588,"low",100,100
"109",1531607,"low",100,100
"110",1531628,"low",60,95
"111",1531632,"low",50,60
"112",1531644,"low",50,60
"113",1531640,"low",15,15
"114",1531665,"low",99,100
"115",1531671,"low",3,3
"116",1531684,"low",80,85
"117",1531692,"low",60,50
"118",1531698,"low",100,100
"119",1531704,"low",95,90
"120",1531709,"low",80,80
"121",1531740,"low",95,95
"122",1531745,"low",100,100
"123",1531744,"low",3,3
"124",1531751,"low",70,70
"125",1532160,"low",60,50
"126",1532271,"low",70,50
"127",1468544,"low",60,60
"128",1468560,"low",100,100
"129",1468582,"low",60,70
"130",1468590,"low",90,90
"131",1468599,"low",60,60
"132",1468604,"low",3,70
"133",1468618,"low",75,75
"134",1468626,"low",56,56
"135",1468634,"low",100,100
"136",1468644,"low",40,40
"137",1468653,"low",80,80
"138",1468654,"low",80,80
"139",1468649,"low",100,100
"140",1468743,"low",70,60
"141",1531474,"low",5,5
"142",1531504,"low",55,55
"143",1531536,"low",60,65
"144",1531544,"low",50,75
"145",1531555,"low",100,100
"146",1531561,"low",35,60
"147",1531571,"low",90,100
"148",1531586,"low",35,55
"149",1531590,"low",5,10
"150",1531605,"low",35,35
"151",1531622,"low",25,25
"152",1531621,"low",98,100
"153",1531639,"low",100,100
"154",1531638,"low",100,100
"155",1531647,"low",100,100
"156",1531664,"low",75,70
"157",1531679,"low",30,10
"158",1531688,"low",95,95
"159",1531695,"low",50,50
"160",1531697,"low",20,40
"161",1531716,"low",100,100
"162",1531725,"low",56,78
"163",1531733,"low",50,100
"164",1531741,"low",70,70
"165",1531738,"low",70,80
"166",1531721,"low",100,100
"167",1531734,"low",100,100
"168",1532157,"low",60,60
"169",1532158,"low",60,60
"170",1532309,"low",45,60
"171",1690708,"high",78,90
"172",1690684,"high",60,65
"173",1690668,"high",40,40
"174",1690661,"high",5,5
"175",1690644,"high",95,95
"176",1690623,"high",25,25
"177",1690607,"high",47,40
"178",1499880,"high",8,8
"179",1499766,"high",10,10
"180",1532220,"high",57,78
"181",1532178,"high",75,70
"182",1531909,"high",30,30
"183",1531986,"high",80,100
"184",1531984,"high",65,70
"185",1531969,"high",85,85
"186",1531942,"high",40,50
"187",1531931,"high",30,50
"188",1531929,"high",10,3
"189",1531900,"high",100,100
"190",1531911,"high",95,95
"191",1531884,"high",4,4
"192",1531880,"high",10,20
"193",1531854,"high",100,100
"194",1531845,"high",18,18
"195",1531822,"high",70,70
"196",1531826,"high",50,65
"197",1531795,"high",75,80
"198",1531783,"high",25,25
"199",1531699,"high",20,20
"200",1499802,"high",45,10
"201",1499780,"high",80,75
"202",1499772,"high",100,100
"203",1499767,"high",20,30
"204",1499757,"high",100,100
"205",1499738,"high",80,90
"206",1499727,"high",70,80
"207",1499719,"high",80,80
"208",1690957,"high",75,80
"209",1499712,"high",4,9
"210",1499723,"high",30,30
"211",1499748,"high",70,90
"212",1499751,"high",100,100
"213",1499764,"high",25,25
"214",1499765,"high",58,58
"215",1499784,"high",80,80
"216",1499793,"high",100,100
"217",1499867,"high",90,90
"218",1531656,"high",50,50
"219",1531732,"high",2,5
"220",1531785,"high",50,50
"221",1531812,"high",10,10
"222",1531819,"high",40,30
"223",1531844,"high",5,5
"224",1531847,"high",40,40
"225",1531859,"high",65,70
"226",1531875,"high",70,70
"227",1531883,"high",1,5
"228",1531907,"high",40,40
"229",1531940,"high",45,30
"230",1531951,"high",20,20
"231",1531973,"high",50,50
"232",1531975,"high",30,25
"233",1531989,"high",60,50
"234",1531987,"high",50,75
"235",1532183,"high",20,30
"236",1532218,"high",60,60
"237",1690573,"high",60,75
"238",1690608,"high",65,50
"239",1690642,"high",10,10
"240",1690646,"high",45,80
"241",1690670,"high",80,100
"242",1690676,"high",45,45
"243",1690690,"high",15,20
"244",1690695,"high",50,50
"245",1690946,"high",50,50
"246",1499720,"high",30,40
"247",1499735,"high",75,40
"248",1499745,"high",60,70
"249",1499762,"high",9,9
"250",1499771,"high",40,50
"251",1499777,"high",40,40
"252",1499778,"high",75,75
"253",1499789,"high",50,50
"254",1531612,"high",60,80
"255",1531705,"high",25,25
"256",1531804,"high",30,20
"257",1531820,"high",95,100
"258",1531834,"high",65,70
"259",1531840,"high",50,50
"260",1531864,"high",20,30
"261",1531873,"high",50,50
"262",1531879,"high",80,100
"263",1531881,"high",15,20
"264",1531914,"high",20,20
"265",1531932,"high",30,40
"266",1531933,"high",7,7
"267",1531962,"high",100,100
"268",1531980,"high",60,60
"269",1531983,"high",100,100
"270",1531982,"high",30,40
"271",1532543,"high",10,10
"272",1690598,"high",90,94
"273",1690626,"high",3,3
"274",1690640,"high",75,75
"275",1690649,"high",40,50
"276",1690675,"high",100,100
"277",1690674,"high",20,20
"278",1690680,"high",60,100
"279",1690699,"high",82,90
"280",1690704,"high",50,50
"281",1499733,"high",60,65
"282",1499759,"high",40,65
"283",1499760,"high",40,40
"284",1499775,"high",30,30
"285",1499773,"high",30,30
"286",1531634,"high",60,50
"287",1531765,"high",40,40
"288",1531778,"high",90,98
"289",1531797,"high",65,60
"290",1531824,"high",25,30
"291",1531851,"high",3,3
"292",1531862,"high",75,75
"293",1531877,"high",70,79
"294",1531878,"high",55,50
"295",1531890,"high",100,100
"296",1531941,"high",50,50
"297",1531944,"high",70,80
"298",1531968,"high",10,30
"299",1531985,"high",60,60
"300",1531988,"high",80,70
"301",1532175,"high",0,0
"302",1690611,"high",85,80
"303",1690629,"high",30,30
"304",1690666,"high",65,75
"305",1690683,"high",3,30
"306",1690691,"high",5,20
"307",1690696,"high",90,95
"308",1690700,"high",100,100
"309",1690645,"high",70,78
"310",1690606,"high",75,75
"311",1531918,"high",66,66
"312",1531730,"high",50,50
"313",1499782,"high",15,30
"314",1499770,"high",30,40
"315",1499742,"high",13,15
"316",1499704,"high",100,100
"317",1532550,"high",40,60
