"","participant_private_id","testexpt","Arial","Sans Forgetica"
"1",1531474,"Low Test Expectancy",6.51376396936698,6.56983842423165
"2",1531487,"Low Test Expectancy",6.47287094357174,6.52697618756132
"3",1531488,"Low Test Expectancy",6.1063105632201,6.1520092413813
"4",1531494,"Low Test Expectancy",8.76862752559774,8.82236990740006
"5",1531503,"Low Test Expectancy",6.02288510172445,6.09956709064028
"6",1531504,"Low Test Expectancy",7.10893123331418,7.04607080460443
"7",1531518,"Low Test Expectancy",7.04447835270233,7.39299171301984
"8",1531520,"Low Test Expectancy",6.26255322333161,6.31206782873721
"9",1531522,"Low Test Expectancy",6.62584341636216,6.76782991698172
"10",1531528,"Low Test Expectancy",7.22836496416783,7.2598448803861
"11",1531532,"Low Test Expectancy",5.66313095757574,5.7079592753908
"12",1531534,"Low Test Expectancy",6.67157669477099,6.77965394812659
"13",1531536,"Low Test Expectancy",6.88761736590012,6.92290753000113
"14",1531537,"Low Test Expectancy",7.2156302851221,7.3200418326951
"15",1531542,"Low Test Expectancy",6.35442335452636,6.41417578319052
"16",1531544,"Low Test Expectancy",7.22999138920275,7.68474280976919
"17",1531546,"Low Test Expectancy",6.65270247704291,6.48197728475852
"18",1531550,"Low Test Expectancy",6.46009476741175,6.54069291491647
"19",1531551,"Low Test Expectancy",6.16874902525217,6.32222287750673
"20",1531554,"Low Test Expectancy",6.50491581723261,6.48654761814392
"21",1531555,"Low Test Expectancy",6.71672389777489,6.78584345784413
"22",1531556,"Low Test Expectancy",7.09806503594939,7.27699146048925
"23",1531557,"Low Test Expectancy",6.68601525587551,6.81224417706365
"24",1531560,"Low Test Expectancy",6.95248369505912,7.06644363091863
"25",1531561,"Low Test Expectancy",5.73783173015879,5.63530136952779
"26",1531566,"Low Test Expectancy",6.77163840448901,6.90166085985903
"27",1531569,"Low Test Expectancy",6.63986454402118,6.67166111870687
"28",1531571,"Low Test Expectancy",6.82823111569863,6.7912584190142
"29",1531572,"Low Test Expectancy",6.86945440659594,6.84910031678287
"30",1531574,"Low Test Expectancy",5.60732128807769,5.77034452886252
"31",1531581,"Low Test Expectancy",6.98929485376995,6.96463627887857
"32",1531585,"Low Test Expectancy",7.07751818815876,7.31399996525501
"33",1531586,"Low Test Expectancy",6.16665364140471,6.1813826202477
"34",1531588,"Low Test Expectancy",6.33428108518558,6.31224409534196
"35",1531590,"Low Test Expectancy",6.32620160143323,6.3508411365697
"36",1531591,"Low Test Expectancy",6.92024387883826,6.98692015576963
"37",1531592,"Low Test Expectancy",6.71487372709817,6.76781275787937
"38",1531593,"Low Test Expectancy",7.33532400472702,6.94844231750913
"39",1531600,"Low Test Expectancy",7.04402277331858,7.35009832679199
"40",1531605,"Low Test Expectancy",6.63929900271711,6.93694391745179
"41",1531607,"Low Test Expectancy",6.76728763995126,6.8638119063234
"42",1531612,"High Test Expectancy",6.0507438672412,6.33131985409856
"43",1531613,"Low Test Expectancy",6.37960776031424,6.49619710754827
"44",1531615,"Low Test Expectancy",6.38449644455935,6.51344073748553
"45",1531620,"Low Test Expectancy",6.00449863923687,6.09349711342029
"46",1531621,"Low Test Expectancy",6.41652501407743,6.43590126778748
"47",1531622,"Low Test Expectancy",6.08539012437095,6.16908787084035
"48",1531625,"Low Test Expectancy",6.00151847279369,6.11631428484642
"49",1531626,"Low Test Expectancy",8.05760946106778,7.85201414482055
"50",1531628,"Low Test Expectancy",6.56684014170761,6.54767998560604
"51",1531632,"Low Test Expectancy",6.75238361837141,6.84709076947549
"52",1531634,"High Test Expectancy",7.03266657706859,7.23969978955274
"53",1531638,"Low Test Expectancy",6.06550931842396,5.83872052625681
"54",1531639,"Low Test Expectancy",6.13573048506774,6.20248496169744
"55",1531640,"Low Test Expectancy",6.75047816987173,6.77454085596687
"56",1531643,"Low Test Expectancy",7.60242950975542,7.52865614356626
"57",1531644,"Low Test Expectancy",5.86935069728937,5.93635784260793
"58",1531645,"Low Test Expectancy",6.26148291170508,6.35108488611396
"59",1531647,"Low Test Expectancy",7.84524339343505,7.54348555478325
"60",1531654,"Low Test Expectancy",6.4361582037499,6.39900540900197
"61",1531656,"High Test Expectancy",6.90768631211541,6.79688276538076
"62",1531657,"Low Test Expectancy",6.19105037306662,6.24374243404711
"63",1531663,"Low Test Expectancy",7.31221176680631,7.37834463366127
"64",1531664,"Low Test Expectancy",6.34903033647945,6.37769767601153
"65",1531665,"Low Test Expectancy",6.06460472224403,6.19077799577398
"66",1531666,"Low Test Expectancy",6.23208865763133,6.18564855577376
"67",1531669,"Low Test Expectancy",6.71250584665812,6.71035602168053
"68",1531670,"Low Test Expectancy",7.5988501714129,7.3535071332406
"69",1531671,"Low Test Expectancy",5.7272339876481,5.79335309679573
"70",1531677,"Low Test Expectancy",6.91316002586992,7.13180973843784
"71",1531679,"Low Test Expectancy",6.45138037805609,6.64317042050405
"72",1531680,"Low Test Expectancy",6.99670246689321,7.25139861665949
"73",1531684,"Low Test Expectancy",6.65523814828011,6.58738985349924
"74",1531688,"Low Test Expectancy",5.93711667824128,5.94599707324027
"75",1531691,"Low Test Expectancy",6.74078583477621,6.68709091458083
"76",1531692,"Low Test Expectancy",6.69501340230567,6.84883813683387
"77",1531693,"Low Test Expectancy",6.55605889800508,6.68572955133256
"78",1531695,"Low Test Expectancy",6.35829936931158,6.39875066041938
"79",1531696,"Low Test Expectancy",7.226289090543,7.14107849399903
"80",1531697,"Low Test Expectancy",6.88338770172811,6.91983767132321
"81",1531698,"Low Test Expectancy",7.1386011976427,7.27955600128362
"82",1531699,"High Test Expectancy",6.60610467669889,6.7184681056261
"83",1531702,"Low Test Expectancy",6.22312374203396,6.00810067535281
"84",1531704,"Low Test Expectancy",6.65093227480516,6.79634107892337
"85",1531705,"High Test Expectancy",6.63048201754413,6.46812870554528
"86",1531706,"Low Test Expectancy",6.06908406862267,6.07302678393425
"87",1531709,"Low Test Expectancy",6.55410077981683,6.71306482015871
"88",1531712,"Low Test Expectancy",5.73471188539244,5.80253171124258
"89",1531715,"Low Test Expectancy",6.95341146700992,7.02851241568356
"90",1531716,"Low Test Expectancy",5.95147989528767,6.00676993368171
"91",1531718,"Low Test Expectancy",6.69255485216305,6.53023931097334
"92",1531720,"Low Test Expectancy",5.9964854421667,6.0761119186487
"93",1531721,"Low Test Expectancy",7.49998829957055,7.76114091058505
"94",1531722,"Low Test Expectancy",6.25816374947686,6.35101631222907
"95",1531723,"Low Test Expectancy",6.53415351965394,6.58400450547042
"96",1531725,"Low Test Expectancy",5.57059037379089,5.64888426310447
"97",1531730,"High Test Expectancy",6.24172092222962,6.26226973665044
"98",1531731,"Low Test Expectancy",6.63639098763833,6.6336828688784
"99",1531732,"High Test Expectancy",6.65116354008798,7.04655285201247
"100",1531733,"Low Test Expectancy",7.25799376545802,7.61666264274191
"101",1531734,"Low Test Expectancy",6.78079780416532,6.92988101163413
"102",1531735,"Low Test Expectancy",7.12395138134749,7.24179206935976
"103",1531736,"Low Test Expectancy",6.40333988876681,6.44754419919079
"104",1531738,"Low Test Expectancy",7.40450452932223,7.43548700651174
"105",1531739,"Low Test Expectancy",6.61444321705952,6.58050141965286
"106",1531740,"Low Test Expectancy",5.74457620826132,5.76466596488015
"107",1531741,"Low Test Expectancy",5.74308457321889,5.92966073549788
"108",1531742,"Low Test Expectancy",6.01613729314218,5.76130606566721
"109",1531744,"Low Test Expectancy",6.85703585583603,7.00791546192063
"110",1531745,"Low Test Expectancy",6.29101230558244,6.30641206115132
"111",1531748,"Low Test Expectancy",6.32304575879804,6.49776677280755
"112",1531751,"Low Test Expectancy",6.5156668980253,6.5557414158592
"113",1531765,"High Test Expectancy",7.17833165394177,7.3100147467928
"114",1531777,"High Test Expectancy",6.22407417520862,6.24779417561213
"115",1531778,"High Test Expectancy",7.70451793418083,7.66818555823181
"116",1531783,"High Test Expectancy",6.74423997276152,6.77938636017243
"117",1531785,"High Test Expectancy",6.89411611034409,6.97361510709455
"118",1531795,"High Test Expectancy",7.46070941768088,7.51150964168105
"119",1531797,"High Test Expectancy",7.92307047160275,8.06475397160531
"120",1531804,"High Test Expectancy",7.36785162315187,7.35384636725236
"121",1531812,"High Test Expectancy",6.07815390459983,6.06433001459188
"122",1531819,"High Test Expectancy",6.27560264747203,6.08169152550117
"123",1531820,"High Test Expectancy",6.73402973809535,6.87846636679018
"124",1531822,"High Test Expectancy",7.69477804779243,7.77548481277544
"125",1531824,"High Test Expectancy",6.29778709789074,6.64662260390889
"126",1531826,"High Test Expectancy",6.81722876640506,6.78690049596112
"127",1531834,"High Test Expectancy",6.5523627320539,6.69980606197026
"128",1531840,"High Test Expectancy",6.2682710272959,6.32535310455488
"129",1531843,"High Test Expectancy",7.46765438987919,7.54083252959487
"130",1531844,"High Test Expectancy",5.82583321233612,5.61844133498161
"131",1531845,"High Test Expectancy",6.35840428549472,6.38907266039514
"132",1531847,"High Test Expectancy",6.1471140059179,6.31219978145049
"133",1531851,"High Test Expectancy",6.27280262919957,6.17421632073234
"134",1531854,"High Test Expectancy",6.59923648160808,6.69080125383651
"135",1531859,"High Test Expectancy",6.49616836855754,6.5594118490987
"136",1531862,"High Test Expectancy",6.27499471904506,6.25907058928586
"137",1531864,"High Test Expectancy",7.22380548589184,7.22971477275825
"138",1531873,"High Test Expectancy",5.76378890390081,5.78132276481087
"139",1531875,"High Test Expectancy",6.28009689543028,6.35159887979345
"140",1531877,"High Test Expectancy",6.17379624785428,6.26366219566001
"141",1531878,"High Test Expectancy",7.18114732625595,7.089673220376
"142",1531879,"High Test Expectancy",5.96423276554351,6.07730134019408
"143",1531880,"High Test Expectancy",6.7401253402316,6.5814626601618
"144",1531881,"High Test Expectancy",6.10022589804672,6.14228668555759
"145",1531883,"High Test Expectancy",5.85904140136513,5.92523024469626
"146",1531884,"High Test Expectancy",6.3583056084134,6.29032463823661
"147",1531890,"High Test Expectancy",6.5344028173969,6.5314968116572
"148",1531900,"High Test Expectancy",6.99354357498708,6.97303083402223
"149",1531902,"High Test Expectancy",5.90475606927288,5.8560265600164
"150",1531907,"High Test Expectancy",7.711281172277,7.79653850263443
"151",1531909,"High Test Expectancy",6.02146222044375,6.13671014125276
"152",1531911,"High Test Expectancy",6.42798513680196,6.38924175573488
"153",1531914,"High Test Expectancy",5.8477363233635,5.8424986263512
"154",1531918,"High Test Expectancy",6.81670222947941,6.863906711861
"155",1531929,"High Test Expectancy",6.60369159360376,6.47862783814456
"156",1531931,"High Test Expectancy",6.52066735011871,6.51062418152612
"157",1531932,"High Test Expectancy",7.27827375372924,7.30146931990349
"158",1531933,"High Test Expectancy",6.99232242684643,7.06728003219051
"159",1531940,"High Test Expectancy",6.67149475873914,6.8149961296262
"160",1531941,"High Test Expectancy",6.65281735562029,6.61547193737694
"161",1531942,"High Test Expectancy",6.630797622978,6.67144552497873
"162",1531944,"High Test Expectancy",6.54022170184942,6.48453766347266
"163",1531951,"High Test Expectancy",6.46701352754496,6.41515188971059
"164",1531962,"High Test Expectancy",6.23971264115023,6.29890824809253
"165",1531968,"High Test Expectancy",6.03403026801662,6.22118697440805
"166",1531969,"High Test Expectancy",6.7056989139816,6.43738073541833
"167",1531973,"High Test Expectancy",6.17187396834283,6.27134955889107
"168",1531975,"High Test Expectancy",6.91409576720071,7.10547332535489
"169",1531980,"High Test Expectancy",6.80992656801514,6.83015532559133
"170",1531982,"High Test Expectancy",6.77150808036956,6.98814762547203
"171",1531983,"High Test Expectancy",7.1938118156055,7.23599792556002
"172",1531984,"High Test Expectancy",6.0456617192283,5.97780550329312
"173",1531985,"High Test Expectancy",6.79309689218479,7.042454671142
"174",1531986,"High Test Expectancy",8.35826835804955,8.33799314868414
"175",1531987,"High Test Expectancy",6.41546299298879,6.56301096990658
"176",1531988,"High Test Expectancy",7.22082678903558,7.2548962435647
"177",1531989,"High Test Expectancy",7.40467877195584,7.46657696090588
"178",1532152,"Low Test Expectancy",7.65806419283512,7.64934128414599
"179",1532156,"Low Test Expectancy",6.24934662889929,6.31416190739539
"180",1532157,"Low Test Expectancy",7.11678981479218,7.01317325927217
"181",1532158,"Low Test Expectancy",7.78078671811323,7.76090723996149
"182",1532160,"Low Test Expectancy",6.12409080874986,6.14584225291847
"183",1532175,"High Test Expectancy",6.63498962934869,6.66774712011589
"184",1532177,"High Test Expectancy",6.62548571588305,6.56634941478526
"185",1532178,"High Test Expectancy",8.33279901986019,8.3310666901515
"186",1532183,"High Test Expectancy",6.58736254654276,6.62604708457627
"187",1532189,"High Test Expectancy",6.45843353652021,6.40120828651213
"188",1532209,"Low Test Expectancy",6.74501404851505,6.81790832678325
"189",1532211,"Low Test Expectancy",6.23635189018517,6.17036425962602
"190",1532218,"High Test Expectancy",6.52841810832084,6.52245064033797
"191",1532220,"High Test Expectancy",6.9125827544112,6.95368728323052
"192",1532226,"Low Test Expectancy",7.8128419646301,8.41290718639286
"193",1532271,"Low Test Expectancy",6.14968937866878,6.1446863586615
"194",1532309,"Low Test Expectancy",6.16662706421565,6.37061578409469
"195",1532543,"High Test Expectancy",6.10199152868182,5.9972152949909
"196",1532550,"High Test Expectancy",6.25644666758896,6.25163220084721
"197",1690573,"High Test Expectancy",6.42396511311628,6.52287371703101
"198",1690598,"High Test Expectancy",6.63401880929739,6.72003533325358
"199",1690606,"High Test Expectancy",6.87460263663625,7.19579061833219
"200",1690607,"High Test Expectancy",6.93035718116907,6.96382034267182
"201",1690608,"High Test Expectancy",6.73854359268802,6.55451012260034
"202",1690611,"High Test Expectancy",7.37495463754355,7.27835848389481
"203",1690623,"High Test Expectancy",6.98174231200581,7.01686768615555
"204",1690626,"High Test Expectancy",6.32144815954001,6.35802182263314
"205",1690629,"High Test Expectancy",6.071111362746,6.06832583678809
"206",1690640,"High Test Expectancy",6.29173109151045,6.46421215390075
"207",1690642,"High Test Expectancy",5.95207457457805,5.9973894534746
"208",1690644,"High Test Expectancy",7.52679091366661,7.50504856469225
"209",1690645,"High Test Expectancy",5.75676808975031,5.70538150711355
"210",1690646,"High Test Expectancy",6.40272173366836,6.47365781444559
"211",1690649,"High Test Expectancy",8.27406737339459,8.29604830959611
"212",1690661,"High Test Expectancy",7.07957415804528,7.23199845741809
"213",1690666,"High Test Expectancy",7.795737113529,7.83107251488195
"214",1690668,"High Test Expectancy",8.39038343318659,8.55277235614456
"215",1690670,"High Test Expectancy",7.09628453615627,7.07793091783082
"216",1690674,"High Test Expectancy",5.95446748172099,5.95037207540682
"217",1690675,"High Test Expectancy",7.78684785640363,7.77612443110757
"218",1690676,"High Test Expectancy",6.67665131799156,6.84772464897976
"219",1690680,"High Test Expectancy",8.46416266277097,8.40592073288023
"220",1690683,"High Test Expectancy",5.63850166853446,5.813971796731
"221",1690684,"High Test Expectancy",7.88687129688836,7.86522695935729
"222",1690690,"High Test Expectancy",6.18836079790182,6.20923211018218
"223",1690691,"High Test Expectancy",6.5127611836436,6.63302854799937
"224",1690695,"High Test Expectancy",7.26693444355753,7.23572281297521
"225",1690696,"High Test Expectancy",8.09578300245872,8.06285598217568
"226",1690699,"High Test Expectancy",6.34786627436094,6.27124856210555
"227",1690700,"High Test Expectancy",5.84066757575436,5.92330040953446
"228",1690704,"High Test Expectancy",6.15027972303172,6.15487259644323
"229",1690708,"High Test Expectancy",6.49047486415241,6.58300652014493
"230",1690946,"High Test Expectancy",6.8415078298762,7.00963780813412
"231",1690957,"High Test Expectancy",7.47118810297825,7.60242906346989
